courseID,courseYear,title,credit,unit_D,hr_D,sec_D,day_D,start_D,dat1,end_D,room_D,major_D,number_D,unit_P,hr_P,sec_P,day_P,start_P,dat2,end_P,room_P,major_P,number_P,teacher,codeTeacher,subjectBefore,testTime,central_M,decentral_M,central_F,decentral_F,note
1999111,01999111-60,Knowledge of the Land,2(2-0-4),2,2,,Tu,9,-,11,,T17/1,60,,,,,,,,,,,ผศ.นันทวุฒิ ศรีอริยวัฒน์,,-,,,,,,
1999111,01999111-60,Knowledge of the Land,2(2-0-4),2,2,,Tu,9,-,11,,T17/1,60,,,,,,,,,,,ผศ.ดร.ประภาพรรณ เกษราพงศ์,,-,,,,,,
1206221,01206221-56,Applied Probability and Statistics for Engineers,3(3-0-6),3,3,800,M,9,-,12,,T05/7,5,,,,,,,,,,,ธนภูมิ,1417168,1417168,,,,,,
3602221,03602221-60,Applied Probability and Statistics for Engineers,3(3-0-6),3,3,800,M,9,-,12,,"T17/2,3,4",55,,,,,,,,,,,ผศ.ดร.นัฎฐวิกา จันทร์ศรี,,1417168,,,,,,
3602221,03602221-60,Applied Probability and Statistics for Engineers,3(3-0-6),3,3,801,M,9,-,12,,"T17/2,3,4",55,,,,,,,,,,,ผศ.ดร.จิราภรณ์ ประดับวงษ์,,1417168,,,,,,
3602211,03602211-60,Materials Science for Engineers,3(3-0-6),3,3,802,Th,9,-,12,,"T17/2,3,4",110,,,,,,,,,,,ผศ.จักรินทร์ กลั่นเงิน,-,-,,,,,,
3602211,03602211-60,Materials Science for Engineers,3(3-0-6),3,3,800,W,13,-,16,,"T13/2,3,4",110,,,,,,,,,,,"อ.ดร.จิรเกียรติ ทรายทอง,อ.ดร.จันจิรา คงชื่นใจ",,-,,,,,,
3602211,03602211-60,Materials Science for Engineers,3(3-0-6),3,3,801,Th,9,-,12,,"T14/3,4",120,,,,,,,,,,,"อ.ธนพันธ์ คงทอง, อ.ดร.จันจิรา คงชื่นใจ",,-,,,,,,
3602321,03602321-60,Operations Research for Engineers I,3(3-0-6),3,3,800,W,13,-,16,,"T17/3,4",80,,,,,,,,,,,ผศ.ดร.ศิริรัตน์ ชุติชูเดช,,03602221-60,,,,,,
3602311,03602311-60,Manufacturing Processes I,3(3-0-6),3,3,800,M,13,-,16,,"T17/3,4",80,,,,,,,,,,,"ผศ.ดร.ชัยวัฒน์ นุ่มทอง, ผศ.ดร.ฐิติกร พัตนพิบูล",,03602211-60,,,,,,
3602312,03602312-60,Introduction to Industrial and Systems Engineering,1(0-3-2),,,,,,,,,,,1,3,830,Tu,13,-,16,,"T17/3,4",80,"ผศ.ดร.ศิริรัตน์ ชุติชูเดช, ผศ.ดร.นัฎฐวิกา จันทร์ศรี",,-,,,,,,
3602341,03602341-60,Industrial Work Study,3(3-0-6),3,3,800,W,9,-,12,,"T17/3,4",40,,,,,,,,,,,ผศ.ดร.เชฏฐา ชำนาญหล่อ,,03602221-60,,,,,,
3602341,03602341-60,Industrial Work Study,3(3-0-6),3,3,801,W,9,-,12,,"T17/3,4",40,,,,,,,,,,,ผศ.ดร.เพ็ญสุดา พันฤทธิ์ดำ,,03602221-60,,,,,,
3602452,03602452-60,Industrial Cost Analysis,3(3-0-6),3,3,800,F,13,-,16,,"T17/3,4",80,,,,,,,,,,,ผศ.ดร.สิรางค์ กลั่นคำสอน,,03602251-60,,,,,,
3600390,03600390-60,Cooperative Education Preparation (เฉพาะนิสิตสหกิจศึกษาเท่านั้น),3(3-0-6),3,3,800,M,16.3,-,19.3,150210,T17/4,28,,,,,,,,,,,"ผศ.ดร.ฐิติกร พัตนพิบูล, ผศ.ดร.จิราภรณ์ ประดับวงษ์",,-,,,,,,
3602412,03602412-60,Manufacturing System Engineering,3(3-0-6),3,3,800,M,9,-,12,,T17/4,80,,,,,,,,,,,ผศ.ดร.ชัยวัฒน์ นุ่มทอง,,03602311-60,,,,,,
3602461,03602461-60,Systems Engineering,3(3-0-6),3,3,800,Tu,16.3,-,19.3,,T17/4,80,,,,,,,,,,,ผศ.นันทวุฒิ ศรีอริยวัฒน์,,03602221-60,,,,,,
3602471,03602471-60,Maintenance Engineering,3(3-0-6),3,3,800,M,13,-,16,,T17/4,80,,,,,,,,,,,"ผศ.ดร.ชัยวัฒน์ นุ่มทอง, อ.ดร.จิรเกียรติ ทรายทอง",,03602221-60,,,,,,
3602472,03602472-60,Industrial Safety,3(3-0-6),3,3,800,Th,9,-,12,,T17/4,80,,,,,,,,,,,ผศ.ดร.เพ็ญสุดา พันฤทธิ์ดำ และคณะ,,03602311-60,,,,,,
3602497,03602497-60,Seminar,1,1,1,800,W,9,-,12,,T17/4,80,,,,,,,,,,,ผศ.นันทวุฒิ ศรีอริยวัฒน์ และคณะ,,-,,,,,,
3602421,03602421-60,Simulation,3(3-0-6),3,3,800,Tu,9,-,12,150210,T17/4,15,,,,,,,,,,,อ.ธนพันธ์ คงทอง,,03602321-60,,,,,,
3602498,03602498-60,Special Problems,3(3-0-6),3,3,800,,,,,,T17/4,15,,,,,,,,,,,ผศ.ดร.ศิริรัตน์ ชุติชูเดช,,-,,,,,,
3602416,03602416-60,Computer-Aided Design and Manufacturing,3(2-3-6),2,2,800,F,8,-,10,Lab Com1,"T17/4, T18/4",15,3,3,830,F,10,-,13,Lab Com1,T17/4,15,"ผศ.ดร.ฐิติกร พัตนพิบูล, อ.ดร.จันจิรา คงชื่นใจ",,03602212-60,,,,,,
